iter	Passed	Remaining
400	31261	124654
401	31353	124633
402	31440	124590
403	31523	124534
404	31612	124499
405	31690	124419
406	31769	124344
407	31853	124291
408	31941	124252
409	32023	124188
410	32104	124122
411	32185	124054
412	32262	123974
413	32345	123912
414	32430	123861
415	32510	123790
416	32588	123710
417	32669	123644
418	32750	123574
419	32828	123497
420	32914	123447
421	32992	123368
422	33080	123329
423	33159	123252
424	33239	123180
425	33327	123138
426	33409	123074
427	33492	123013
428	33594	123024
429	33691	123012
430	33798	123040
431	33910	123082
432	33992	123017
433	34078	122966
434	34167	122925
435	34255	122879
436	34344	122838
437	34427	122775
438	34509	122707
439	34588	122632
440	34672	122572
441	34763	122538
442	34842	122459
443	34937	122440
444	35017	122365
445	35109	122332
446	35195	122279
447	35275	122204
448	35354	122124
449	35438	122065
450	35522	122004
451	35639	122057
452	35733	122031
453	35815	121961
454	35898	121895
455	35976	121816
456	36059	121749
457	36140	121679
458	36214	121583
459	36288	121488
460	36366	121406
461	36444	121324
462	36526	121255
463	36598	121154
464	36674	121066
465	36756	120996
466	36832	120909
467	36910	120825
468	36986	120736
469	37070	120675
470	37146	120588
471	37222	120499
472	37302	120425
473	37379	120340
474	37455	120252
475	37536	120178
476	37617	120106
477	37690	120009
478	37761	119906
479	37838	119821
480	37911	119724
481	37988	119640
482	38065	119555
483	38147	119487
484	38224	119402
485	38301	119317
486	38379	119237
487	38456	119152
488	38531	119061
489	38671	119170
490	38745	119077
491	38827	119008
492	38907	118930
493	38999	118894
494	39075	118805
495	39153	118724
496	39233	118647
497	39312	118569
498	39389	118482
499	39464	118392
500	39545	118321
501	39620	118229
502	39702	118159
503	39785	118093
504	39859	118001
505	39931	117900
506	40007	117813
507	40090	117746
508	40163	117648
509	40241	117568
510	40316	117478
511	40402	117421
512	40478	117333
513	40557	117254
514	40630	117157
515	40704	117065
516	40776	116964
517	40851	116875
518	40929	116795
519	41007	116713
520	41086	116633
521	41161	116546
522	41245	116480
523	41322	116396
524	41400	116316
525	41475	116225
526	41548	116131
527	41625	116047
528	41702	115962
529	41784	115892
530	41862	115810
531	41941	115734
532	42031	115684
533	42116	115622
534	42195	115543
535	42273	115464
536	42345	115365
537	42428	115299
538	42503	115210
539	42581	115127
540	42666	115066
541	42738	114969
542	42813	114879
543	42889	114791
544	42963	114701
545	43040	114616
546	43114	114525
547	43188	114434
548	43272	114369
549	43351	114290
550	43431	114213
551	43506	114124
552	43581	114036
553	43667	113976
554	43755	113921
555	43853	113893
556	43928	113803
557	44003	113714
558	44083	113639
559	44158	113550
560	44241	113482
561	44330	113428
562	44414	113363
563	44490	113278
564	44566	113190
565	44642	113105
566	44718	113018
567	44798	112942
568	44884	112882
569	44960	112795
570	45037	112711
571	45115	112630
572	45191	112544
573	45270	112466
574	45348	112384
575	45426	112303
576	45503	112220
577	45580	112137
578	45655	112048
579	45732	111966
580	45807	111878
581	45884	111793
582	45955	111697
583	46028	111603
584	46103	111514
585	46179	111429
586	46255	111345
587	46329	111254
588	46404	111166
589	46490	111103
590	46567	111020
591	46646	110943
592	46725	110864
593	46799	110774
594	46873	110683
595	46947	110594
596	47022	110506
597	47102	110431
598	47190	110374
599	47264	110282
600	47344	110208
601	47422	110126
602	47497	110039
603	47571	109950
604	47648	109866
605	47720	109773
606	47793	109680
607	47867	109590
608	47941	109502
609	48019	109422
610	48095	109337
611	48174	109258
612	48246	109164
613	48321	109078
614	48402	109004
615	48482	108927
616	48557	108840
617	48634	108758
618	48713	108681
619	48801	108622
620	48884	108554
621	48985	108523
622	49063	108442
623	49135	108350
624	49210	108263
625	49286	108177
626	49367	108105
627	49447	108028
628	49525	107947
629	49599	107859
630	49672	107767
631	49749	107685
632	49825	107601
633	49898	107510
634	49976	107429
635	50050	107341
636	50126	107257
637	50200	107168
638	50276	107084
639	50352	106998
640	50433	106925
641	50509	106841
642	50586	106759
643	50662	106674
644	50737	106587
645	50809	106495
646	50893	106428
647	50969	106342
648	51052	106274
649	51134	106202
650	51213	106125
651	51293	106047
652	51367	105959
653	51441	105871
654	51516	105786
655	51592	105702
656	51673	105628
657	51752	105550
658	51832	105473
659	51908	105390
660	51986	105310
661	52061	105224
662	52134	105133
663	52214	105058
664	52291	104976
665	52370	104898
666	52451	104823
667	52523	104732
668	52599	104647
669	52674	104562
670	52749	104478
671	52825	104393
672	52900	104307
673	52976	104223
674	53055	104146
675	53136	104071
676	53213	103990
677	53295	103917
678	53375	103842
679	53453	103762
680	53530	103680
681	53619	103622
682	53701	103549
683	53806	103521
684	53881	103436
685	53959	103355
686	54042	103287
687	54117	103201
688	54187	103105
689	54261	103018
690	54338	102937
691	54413	102850
692	54489	102767
693	54565	102684
694	54638	102593
695	54712	102507
696	54792	102431
697	54867	102346
698	54942	102260
699	55015	102171
700	55090	102086
701	55164	101999
702	55237	101910
703	55311	101824
704	55387	101740
705	55465	101660
706	55551	101595
707	55632	101521
708	55712	101445
709	55798	101380
710	55872	101293
711	55944	101203
712	56021	101121
713	56097	101038
714	56171	100951
715	56246	100865
716	56325	100789
717	56402	100707
718	56476	100621
719	56551	100536
720	56626	100450
721	56701	100366
722	56778	100285
723	56856	100205
724	56932	100123
725	57009	100040
726	57087	99962
727	57163	99878
728	57239	99796
729	57318	99718
730	57392	99632
731	57467	99546
732	57545	99467
733	57620	99384
734	57693	99295
735	57769	99212
736	57852	99141
737	57926	99056
738	58007	98982
739	58084	98900
740	58159	98816
741	58234	98731
742	58308	98646
743	58384	98562
744	58457	98476
745	58541	98406
746	58616	98321
747	58691	98237
748	58774	98166
749	58859	98098
750	58953	98046
751	59031	97967
752	59106	97882
753	59181	97798
754	59259	97719
755	59336	97638
756	59413	97558
757	59484	97466
758	59559	97381
759	59636	97302
760	59709	97214
761	59784	97129
762	59861	97048
763	59934	96962
764	60014	96886
765	60095	96811
766	60174	96734
767	60257	96662
768	60333	96581
769	60405	96491
770	60482	96410
771	60556	96324
772	60634	96246
773	60712	96167
774	60794	96095
775	60869	96010
776	60950	95936
777	61025	95852
778	61100	95768
779	61172	95680
780	61248	95598
781	61325	95517
782	61398	95430
783	61477	95352
784	61551	95267
785	61629	95188
786	61701	95101
787	61775	95015
788	61850	94931
789	61924	94846
790	61999	94762
791	62079	94686
792	62154	94603
793	62229	94520
794	62303	94434
795	62379	94352
796	62459	94276
797	62536	94196
798	62612	94115
799	62695	94042
800	62776	93969
801	62857	93894
802	62932	93810
803	63010	93732
804	63091	93657
805	63171	93581
806	63244	93495
807	63326	93421
808	63400	93337
809	63477	93256
810	63564	93191
811	63645	93117
812	63734	93054
813	63830	93000
814	63905	92917
815	63978	92831
816	64054	92749
817	64128	92664
818	64203	92581
819	64277	92496
820	64350	92410
821	64424	92325
822	64499	92242
823	64573	92158
824	64651	92079
825	64728	91998
826	64808	91922
827	64884	91840
828	64959	91758
829	65034	91674
830	65110	91592
831	65181	91504
832	65257	91423
833	65337	91347
834	65414	91266
835	65490	91185
836	65565	91102
837	65638	91017
838	65715	90936
839	65797	90863
840	65869	90776
841	65946	90696
842	66025	90618
843	66100	90535
844	66177	90455
845	66253	90374
846	66336	90301
847	66417	90227
848	66491	90143
849	66569	90064
850	66644	89982
851	66723	89904
852	66805	89830
853	66880	89747
854	66962	89674
855	67043	89599
856	67124	89525
